Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,random,1,32,1,-7.2,5.747,1
Vina,A,random,2,32,1,-6.9,4.943,1
Vina,A,random,3,32,1,-6.8,5.628,1
Vina,A,random,4,32,1,-6.8,5.099,1
Vina,A,random,5,32,1,-6.8,4.562,1
Vina,A,random,6,32,1,-6.7,5.575,1
Vina,A,random,7,32,1,-6.7,5.750,1
Vina,A,random,8,32,1,-6.7,5.317,1
Vina,A,random,9,32,1,-6.7,5.837,1
Vina,A,random,10,32,1,-6.6,1.687,1
Vina,A,random,11,32,1,-6.5,5.337,1
Vina,A,random,12,32,1,-6.5,4.262,1
Vina,A,random,13,32,1,-6.5,5.249,1
Vina,A,random,14,32,1,-6.5,5.238,1
Vina,A,random,15,32,1,-6.5,5.083,1
Vina,A,random,16,32,1,-6.4,5.529,1
Vina,A,random,17,32,1,-6.4,4.930,1
Vina,A,random,18,32,1,-6.4,5.905,1
Vina,A,random,19,32,1,-6.4,5.002,1
Vina,A,random,20,32,1,-6.4,4.867,1
Vina,A,random,1,32,1,-7.2,6.714,2
Vina,A,random,2,32,1,-6.8,5.481,2
Vina,A,random,3,32,1,-6.6,5.326,2
Vina,A,random,4,32,1,-6.5,5.179,2
Vina,A,random,5,32,1,-6.4,4.729,2
Vina,A,random,6,32,1,-6.4,5.441,2
Vina,A,random,7,32,1,-6.4,5.579,2
Vina,A,random,8,32,1,-6.4,4.956,2
Vina,A,random,9,32,1,-6.3,5.127,2
Vina,A,random,10,32,1,-6.3,5.238,2
Vina,A,random,11,32,1,-6.2,6.254,2
Vina,A,random,12,32,1,-6.2,6.013,2
Vina,A,random,13,32,1,-6.2,4.822,2
Vina,A,random,1,32,1,-7.2,5.146,3
Vina,A,random,2,32,1,-7.2,6.217,3
Vina,A,random,3,32,1,-6.7,5.129,3
Vina,A,random,4,32,1,-6.7,5.014,3
Vina,A,random,5,32,1,-6.6,5.543,3
Vina,A,random,6,32,1,-6.6,4.444,3
Vina,A,random,7,32,1,-6.5,5.472,3
Vina,A,random,8,32,1,-6.5,5.030,3
Vina,A,random,9,32,1,-6.5,5.083,3
Vina,A,random,10,32,1,-6.4,4.861,3
Vina,A,random,11,32,1,-6.4,4.522,3
Vina,A,random,12,32,1,-6.4,5.073,3
Vina,A,random,13,32,1,-6.4,4.022,3
Vina,A,random,14,32,1,-6.4,4.582,3
Vina,A,random,15,32,1,-6.3,6.015,3
Vina,A,random,16,32,1,-6.3,5.128,3
Vina,A,random,17,32,1,-6.3,5.485,3
Vina,A,random,18,32,1,-6.3,4.755,3
Vina,A,random,1,32,3,-7.4,5.166,1
Vina,A,random,2,32,3,-7.4,6.646,1
Vina,A,random,3,32,3,-7.3,6.391,1
Vina,A,random,4,32,3,-7.1,6.555,1
Vina,A,random,5,32,3,-7.1,4.534,1
Vina,A,random,6,32,3,-7.0,3.254,1
Vina,A,random,7,32,3,-7.0,5.510,1
Vina,A,random,8,32,3,-6.9,4.812,1
Vina,A,random,9,32,3,-6.8,4.684,1
Vina,A,random,10,32,3,-6.8,5.609,1
Vina,A,random,11,32,3,-6.8,4.477,1
Vina,A,random,12,32,3,-6.8,4.804,1
Vina,A,random,13,32,3,-6.8,5.575,1
Vina,A,random,14,32,3,-6.8,5.337,1
Vina,A,random,15,32,3,-6.7,4.507,1
Vina,A,random,16,32,3,-6.6,4.613,1
Vina,A,random,17,32,3,-6.6,5.551,1
Vina,A,random,18,32,3,-6.6,4.874,1
Vina,A,random,19,32,3,-6.6,5.674,1
Vina,A,random,20,32,3,-6.6,5.245,1
Vina,A,random,1,32,3,-6.9,6.266,2
Vina,A,random,2,32,3,-6.5,4.996,2
Vina,A,random,3,32,3,-6.4,6.463,2
Vina,A,random,4,32,3,-6.3,5.654,2
Vina,A,random,5,32,3,-6.3,5.510,2
Vina,A,random,6,32,3,-6.2,5.497,2
Vina,A,random,7,32,3,-6.2,5.771,2
Vina,A,random,8,32,3,-6.2,5.701,2
Vina,A,random,9,32,3,-6.0,4.663,2
Vina,A,random,10,32,3,-5.9,6.145,2
Vina,A,random,11,32,3,-5.9,5.875,2
Vina,A,random,12,32,3,-5.9,4.926,2
Vina,A,random,13,32,3,-5.8,4.428,2
Vina,A,random,14,32,3,-5.8,5.265,2
Vina,A,random,15,32,3,-5.8,5.030,2
Vina,A,random,16,32,3,-5.8,4.829,2
Vina,A,random,17,32,3,-5.7,4.796,2
Vina,A,random,18,32,3,-5.7,5.523,2
Vina,A,random,19,32,3,-5.7,4.554,2
Vina,A,random,20,32,3,-5.7,5.022,2
Vina,A,random,1,32,3,-6.9,6.903,3
Vina,A,random,2,32,3,-6.6,5.826,3
Vina,A,random,3,32,3,-6.6,4.938,3
Vina,A,random,4,32,3,-6.5,4.626,3
Vina,A,random,5,32,3,-6.4,4.605,3
Vina,A,random,6,32,3,-6.4,4.817,3
Vina,A,random,7,32,3,-6.3,3.678,3
Vina,A,random,8,32,3,-6.3,5.988,3
Vina,A,random,9,32,3,-6.2,4.938,3
Vina,A,random,10,32,3,-6.2,4.926,3
Vina,A,random,11,32,3,-6.2,5.563,3
Vina,A,random,12,32,3,-6.2,5.230,3
Vina,A,random,13,32,3,-6.2,5.789,3
Vina,A,random,14,32,3,-6.2,5.270,3
Vina,A,random,15,32,3,-6.2,5.871,3
Vina,A,random,16,32,3,-6.1,4.509,3
Vina,A,random,17,32,3,-6.1,5.114,3
Vina,A,random,18,32,3,-6.1,5.517,3
Vina,A,random,19,32,3,-6.1,5.529,3
Vina,A,random,20,32,3,-6.0,4.939,3
Vina,A,random,1,8,1,-6.6,3.759,1
Vina,A,random,2,8,1,-6.5,4.565,1
Vina,A,random,3,8,1,-6.5,4.736,1
Vina,A,random,4,8,1,-6.3,5.979,1
Vina,A,random,5,8,1,-6.1,5.077,1
Vina,A,random,6,8,1,-6.0,5.764,1
Vina,A,random,7,8,1,-6.0,5.760,1
Vina,A,random,8,8,1,-6.0,5.226,1
Vina,A,random,9,8,1,-5.8,5.331,1
Vina,A,random,10,8,1,-5.8,5.559,1
Vina,A,random,11,8,1,-5.8,5.162,1
Vina,A,random,12,8,1,-5.8,5.613,1
Vina,A,random,13,8,1,-5.8,4.658,1
Vina,A,random,14,8,1,-5.7,6.239,1
Vina,A,random,15,8,1,-5.7,5.987,1
Vina,A,random,16,8,1,-5.6,6.326,1
Vina,A,random,17,8,1,-5.6,4.298,1
Vina,A,random,18,8,1,-5.6,5.130,1
Vina,A,random,19,8,1,-5.6,3.973,1
Vina,A,random,1,8,1,-7.1,5.302,2
Vina,A,random,2,8,1,-6.9,4.586,2
Vina,A,random,3,8,1,-6.9,5.939,2
Vina,A,random,4,8,1,-6.8,3.873,2
Vina,A,random,5,8,1,-6.8,4.805,2
Vina,A,random,6,8,1,-6.7,4.469,2
Vina,A,random,7,8,1,-6.6,5.539,2
Vina,A,random,8,8,1,-6.5,4.889,2
Vina,A,random,9,8,1,-6.2,4.441,2
Vina,A,random,10,8,1,-6.1,4.489,2
Vina,A,random,11,8,1,-6.1,5.267,2
Vina,A,random,12,8,1,-6.1,5.707,2
Vina,A,random,1,8,1,-7.3,6.615,3
Vina,A,random,2,8,1,-7.0,4.956,3
Vina,A,random,3,8,1,-6.6,4.655,3
Vina,A,random,4,8,1,-6.4,5.117,3
Vina,A,random,5,8,1,-6.3,4.986,3
Vina,A,random,6,8,1,-6.3,4.334,3
Vina,A,random,1,8,3,-7.0,5.856,1
Vina,A,random,2,8,3,-6.8,1.973,1
Vina,A,random,3,8,3,-6.7,4.899,1
Vina,A,random,4,8,3,-6.4,3.743,1
Vina,A,random,5,8,3,-6.4,4.993,1
Vina,A,random,6,8,3,-6.3,4.982,1
Vina,A,random,7,8,3,-6.2,4.615,1
Vina,A,random,8,8,3,-6.2,4.421,1
Vina,A,random,9,8,3,-6.1,4.863,1
Vina,A,random,10,8,3,-6.1,5.166,1
Vina,A,random,11,8,3,-6.0,5.417,1
Vina,A,random,12,8,3,-5.9,4.940,1
Vina,A,random,13,8,3,-5.9,5.439,1
Vina,A,random,14,8,3,-5.8,4.786,1
Vina,A,random,15,8,3,-5.8,4.225,1
Vina,A,random,16,8,3,-5.8,3.403,1
Vina,A,random,17,8,3,-5.8,5.016,1
Vina,A,random,18,8,3,-5.8,4.329,1
Vina,A,random,19,8,3,-5.8,3.994,1
Vina,A,random,20,8,3,-5.8,5.099,1
Vina,A,random,1,8,3,-7.3,4.873,2
Vina,A,random,2,8,3,-6.9,5.448,2
Vina,A,random,3,8,3,-6.9,5.881,2
Vina,A,random,4,8,3,-6.8,5.263,2
Vina,A,random,5,8,3,-6.8,5.855,2
Vina,A,random,6,8,3,-6.8,6.382,2
Vina,A,random,7,8,3,-6.6,4.631,2
Vina,A,random,8,8,3,-6.6,4.050,2
Vina,A,random,9,8,3,-6.5,6.344,2
Vina,A,random,10,8,3,-6.5,4.924,2
Vina,A,random,11,8,3,-6.4,3.832,2
Vina,A,random,12,8,3,-6.4,5.152,2
Vina,A,random,13,8,3,-6.4,6.263,2
Vina,A,random,14,8,3,-6.4,5.123,2
Vina,A,random,15,8,3,-6.4,4.706,2
Vina,A,random,16,8,3,-6.4,4.948,2
Vina,A,random,17,8,3,-6.3,5.139,2
Vina,A,random,18,8,3,-6.3,5.088,2
Vina,A,random,19,8,3,-6.3,5.140,2
Vina,A,random,20,8,3,-6.2,6.076,2
Vina,A,random,1,8,3,-7.1,6.031,3
Vina,A,random,2,8,3,-6.6,4.572,3
Vina,A,random,3,8,3,-6.5,6.412,3
Vina,A,random,4,8,3,-6.4,5.847,3
Vina,A,random,5,8,3,-6.4,5.790,3
Vina,A,random,6,8,3,-6.3,5.947,3
Vina,A,random,7,8,3,-6.3,4.821,3
Vina,A,random,8,8,3,-6.2,5.835,3
Vina,A,random,9,8,3,-6.1,5.576,3
Vina,A,random,10,8,3,-6.1,5.963,3
Vina,A,random,11,8,3,-6.1,6.009,3
Vina,A,random,12,8,3,-6.1,4.808,3
Vina,A,random,13,8,3,-6.1,4.585,3
Vina,A,random,14,8,3,-6.0,4.674,3
Vina,A,random,15,8,3,-6.0,6.099,3
Vina,A,random,16,8,3,-6.0,4.383,3
Vina,A,random,17,8,3,-5.9,5.070,3
Vina,A,random,18,8,3,-5.9,5.694,3
Vina,A,random,19,8,3,-5.9,4.663,3
Vina,A,random,20,8,3,-5.8,4.419,3
Vina,B,crystal,1,24,1,-7.1,6.742,1
Vina,B,crystal,2,24,1,-7.1,6.207,1
Vina,B,crystal,3,24,1,-7.0,5.148,1
Vina,B,crystal,4,24,1,-6.9,5.788,1
Vina,B,crystal,5,24,1,-6.9,5.185,1
Vina,B,crystal,6,24,1,-6.9,5.154,1
Vina,B,crystal,7,24,1,-6.9,4.370,1
Vina,B,crystal,8,24,1,-6.8,4.901,1
Vina,B,crystal,9,24,1,-6.8,4.667,1
Vina,B,crystal,10,24,1,-6.8,6.392,1
Vina,B,crystal,11,24,1,-6.8,5.772,1
Vina,B,crystal,12,24,1,-6.8,4.649,1
Vina,B,crystal,13,24,1,-6.7,5.512,1
Vina,B,crystal,14,24,1,-6.7,5.729,1
Vina,B,crystal,15,24,1,-6.6,6.072,1
Vina,B,crystal,16,24,1,-6.6,4.774,1
Vina,B,crystal,17,24,1,-6.6,5.642,1
Vina,B,crystal,18,24,1,-6.6,4.820,1
Vina,B,crystal,19,24,1,-6.5,3.413,1
Vina,B,crystal,20,24,1,-6.5,3.696,1
Vina,B,crystal,1,24,1,-7.2,6.618,2
Vina,B,crystal,2,24,1,-7.1,6.252,2
Vina,B,crystal,3,24,1,-7.1,5.188,2
Vina,B,crystal,4,24,1,-6.9,4.894,2
Vina,B,crystal,5,24,1,-6.9,2.350,2
Vina,B,crystal,6,24,1,-6.9,5.266,2
Vina,B,crystal,7,24,1,-6.9,4.665,2
Vina,B,crystal,8,24,1,-6.8,5.838,2
Vina,B,crystal,9,24,1,-6.7,4.100,2
Vina,B,crystal,10,24,1,-6.7,4.979,2
Vina,B,crystal,11,24,1,-6.7,5.143,2
Vina,B,crystal,12,24,1,-6.7,4.168,2
Vina,B,crystal,13,24,1,-6.6,6.560,2
Vina,B,crystal,14,24,1,-6.6,5.657,2
Vina,B,crystal,15,24,1,-6.6,5.796,2
Vina,B,crystal,16,24,1,-6.5,5.505,2
Vina,B,crystal,17,24,1,-6.5,5.630,2
Vina,B,crystal,18,24,1,-6.5,5.627,2
Vina,B,crystal,19,24,1,-6.5,4.722,2
Vina,B,crystal,20,24,1,-6.4,3.817,2
Vina,B,crystal,1,24,1,-6.9,6.214,3
Vina,B,crystal,2,24,1,-6.9,6.731,3
Vina,B,crystal,3,24,1,-6.9,4.322,3
Vina,B,crystal,4,24,1,-6.9,5.267,3
Vina,B,crystal,5,24,1,-6.8,5.006,3
Vina,B,crystal,6,24,1,-6.7,5.190,3
Vina,B,crystal,7,24,1,-6.7,4.821,3
Vina,B,crystal,8,24,1,-6.7,5.314,3
Vina,B,crystal,9,24,1,-6.6,5.816,3
Vina,B,crystal,10,24,1,-6.6,5.910,3
Vina,B,crystal,11,24,1,-6.6,6.489,3
Vina,B,crystal,12,24,1,-6.6,4.775,3
Vina,B,crystal,13,24,1,-6.6,2.089,3
Vina,B,crystal,14,24,1,-6.6,4.955,3
Vina,B,crystal,15,24,1,-6.5,4.899,3
Vina,B,crystal,16,24,1,-6.5,5.243,3
Vina,B,crystal,17,24,1,-6.5,6.301,3
Vina,B,crystal,18,24,1,-6.5,5.530,3
Vina,B,crystal,19,24,1,-6.4,3.940,3
Vina,B,crystal,20,24,1,-6.3,5.704,3
Vina,B,crystal,1,24,3,-7.1,6.639,1
Vina,B,crystal,2,24,3,-7.1,2.348,1
Vina,B,crystal,3,24,3,-7.0,6.296,1
Vina,B,crystal,4,24,3,-7.0,5.092,1
Vina,B,crystal,5,24,3,-7.0,3.972,1
Vina,B,crystal,6,24,3,-7.0,4.918,1
Vina,B,crystal,7,24,3,-6.8,4.288,1
Vina,B,crystal,8,24,3,-6.8,6.636,1
Vina,B,crystal,9,24,3,-6.8,5.404,1
Vina,B,crystal,10,24,3,-6.8,5.934,1
Vina,B,crystal,11,24,3,-6.8,6.635,1
Vina,B,crystal,12,24,3,-6.7,4.816,1
Vina,B,crystal,13,24,3,-6.7,4.718,1
Vina,B,crystal,14,24,3,-6.6,4.010,1
Vina,B,crystal,15,24,3,-6.6,5.654,1
Vina,B,crystal,16,24,3,-6.6,6.561,1
Vina,B,crystal,17,24,3,-6.5,5.077,1
Vina,B,crystal,18,24,3,-6.5,4.738,1
Vina,B,crystal,19,24,3,-6.5,6.336,1
Vina,B,crystal,20,24,3,-6.5,5.866,1
Vina,B,crystal,1,24,3,-7.5,6.695,2
Vina,B,crystal,2,24,3,-7.4,6.401,2
Vina,B,crystal,3,24,3,-7.4,5.158,2
Vina,B,crystal,4,24,3,-7.2,5.225,2
Vina,B,crystal,5,24,3,-7.1,5.978,2
Vina,B,crystal,6,24,3,-7.1,3.754,2
Vina,B,crystal,7,24,3,-7.0,4.845,2
Vina,B,crystal,8,24,3,-7.0,4.894,2
Vina,B,crystal,9,24,3,-7.0,4.820,2
Vina,B,crystal,10,24,3,-6.9,5.281,2
Vina,B,crystal,11,24,3,-6.9,4.974,2
Vina,B,crystal,12,24,3,-6.9,5.871,2
Vina,B,crystal,13,24,3,-6.9,6.533,2
Vina,B,crystal,14,24,3,-6.8,4.816,2
Vina,B,crystal,15,24,3,-6.8,4.904,2
Vina,B,crystal,16,24,3,-6.8,5.692,2
Vina,B,crystal,17,24,3,-6.8,5.396,2
Vina,B,crystal,18,24,3,-6.8,4.801,2
Vina,B,crystal,19,24,3,-6.8,3.680,2
Vina,B,crystal,20,24,3,-6.7,4.894,2
Vina,B,crystal,1,24,3,-7.2,6.630,3
Vina,B,crystal,2,24,3,-7.1,5.200,3
Vina,B,crystal,3,24,3,-7.0,6.269,3
Vina,B,crystal,4,24,3,-7.0,4.992,3
Vina,B,crystal,5,24,3,-6.9,5.154,3
Vina,B,crystal,6,24,3,-6.9,5.262,3
Vina,B,crystal,7,24,3,-6.8,5.042,3
Vina,B,crystal,8,24,3,-6.8,4.656,3
Vina,B,crystal,9,24,3,-6.8,5.012,3
Vina,B,crystal,10,24,3,-6.8,3.918,3
Vina,B,crystal,11,24,3,-6.8,4.377,3
Vina,B,crystal,12,24,3,-6.7,4.617,3
Vina,B,crystal,13,24,3,-6.7,5.425,3
Vina,B,crystal,14,24,3,-6.7,6.614,3
Vina,B,crystal,15,24,3,-6.7,5.755,3
Vina,B,crystal,16,24,3,-6.6,4.124,3
Vina,B,crystal,17,24,3,-6.6,4.864,3
Vina,B,crystal,18,24,3,-6.6,5.680,3
Vina,B,crystal,19,24,3,-6.6,5.651,3
Vina,B,crystal,20,24,3,-6.5,4.646,3
Vina,B,crystal,1,32,1,-7.5,6.681,1
Vina,B,crystal,2,32,1,-7.4,6.171,1
Vina,B,crystal,3,32,1,-7.4,3.971,1
Vina,B,crystal,4,32,1,-7.3,5.165,1
Vina,B,crystal,5,32,1,-7.3,4.399,1
Vina,B,crystal,6,32,1,-7.2,5.161,1
Vina,B,crystal,7,32,1,-7.2,2.315,1
Vina,B,crystal,8,32,1,-7.1,5.017,1
Vina,B,crystal,9,32,1,-7.1,5.806,1
Vina,B,crystal,10,32,1,-7.0,4.909,1
Vina,B,crystal,11,32,1,-7.0,5.517,1
Vina,B,crystal,12,32,1,-7.0,5.453,1
Vina,B,crystal,13,32,1,-6.9,5.376,1
Vina,B,crystal,14,32,1,-6.9,5.170,1
Vina,B,crystal,15,32,1,-6.9,6.546,1
Vina,B,crystal,16,32,1,-6.9,4.781,1
Vina,B,crystal,17,32,1,-6.9,5.174,1
Vina,B,crystal,18,32,1,-6.8,6.045,1
Vina,B,crystal,19,32,1,-6.8,5.685,1
Vina,B,crystal,20,32,1,-6.7,3.741,1
Vina,B,crystal,1,32,1,-7.6,6.771,2
Vina,B,crystal,2,32,1,-7.5,6.584,2
Vina,B,crystal,3,32,1,-7.4,3.806,2
Vina,B,crystal,4,32,1,-7.4,6.140,2
Vina,B,crystal,5,32,1,-7.3,5.284,2
Vina,B,crystal,6,32,1,-7.2,5.093,2
Vina,B,crystal,7,32,1,-7.2,5.578,2
Vina,B,crystal,8,32,1,-7.1,4.930,2
Vina,B,crystal,9,32,1,-7.1,5.699,2
Vina,B,crystal,10,32,1,-7.1,5.157,2
Vina,B,crystal,11,32,1,-7.1,5.402,2
Vina,B,crystal,12,32,1,-7.1,2.370,2
Vina,B,crystal,13,32,1,-7.1,5.128,2
Vina,B,crystal,14,32,1,-7.0,4.308,2
Vina,B,crystal,15,32,1,-7.0,4.481,2
Vina,B,crystal,16,32,1,-7.0,5.851,2
Vina,B,crystal,17,32,1,-7.0,4.994,2
Vina,B,crystal,18,32,1,-7.0,4.829,2
Vina,B,crystal,19,32,1,-7.0,6.500,2
Vina,B,crystal,20,32,1,-6.9,5.266,2
Vina,B,crystal,1,32,1,-7.1,6.562,3
Vina,B,crystal,2,32,1,-7.0,6.179,3
Vina,B,crystal,3,32,1,-7.0,6.442,3
Vina,B,crystal,4,32,1,-7.0,5.145,3
Vina,B,crystal,5,32,1,-6.9,5.102,3
Vina,B,crystal,6,32,1,-6.8,5.003,3
Vina,B,crystal,7,32,1,-6.8,4.951,3
Vina,B,crystal,8,32,1,-6.8,5.194,3
Vina,B,crystal,9,32,1,-6.7,5.375,3
Vina,B,crystal,10,32,1,-6.7,5.760,3
Vina,B,crystal,11,32,1,-6.7,4.684,3
Vina,B,crystal,12,32,1,-6.7,4.928,3
Vina,B,crystal,13,32,1,-6.7,5.006,3
Vina,B,crystal,14,32,1,-6.6,6.015,3
Vina,B,crystal,15,32,1,-6.6,4.771,3
Vina,B,crystal,16,32,1,-6.6,5.871,3
Vina,B,crystal,17,32,1,-6.6,2.447,3
Vina,B,crystal,18,32,1,-6.4,6.762,3
Vina,B,crystal,19,32,1,-6.4,5.682,3
Vina,B,crystal,20,32,1,-6.4,6.011,3
Vina,B,crystal,1,32,3,-7.1,6.584,1
Vina,B,crystal,2,32,3,-7.0,6.205,1
Vina,B,crystal,3,32,3,-6.9,5.273,1
Vina,B,crystal,4,32,3,-6.8,5.097,1
Vina,B,crystal,5,32,3,-6.8,2.624,1
Vina,B,crystal,6,32,3,-6.7,5.282,1
Vina,B,crystal,7,32,3,-6.7,5.240,1
Vina,B,crystal,8,32,3,-6.7,5.132,1
Vina,B,crystal,9,32,3,-6.7,5.126,1
Vina,B,crystal,10,32,3,-6.7,4.766,1
Vina,B,crystal,11,32,3,-6.6,4.061,1
Vina,B,crystal,12,32,3,-6.6,4.735,1
Vina,B,crystal,13,32,3,-6.6,5.808,1
Vina,B,crystal,14,32,3,-6.6,5.053,1
Vina,B,crystal,15,32,3,-6.6,5.157,1
Vina,B,crystal,16,32,3,-6.5,4.818,1
Vina,B,crystal,17,32,3,-6.5,4.707,1
Vina,B,crystal,18,32,3,-6.5,3.957,1
Vina,B,crystal,19,32,3,-6.4,6.418,1
Vina,B,crystal,20,32,3,-6.4,5.669,1
Vina,B,crystal,1,32,3,-7.1,6.356,2
Vina,B,crystal,2,32,3,-7.1,5.180,2
Vina,B,crystal,3,32,3,-7.1,6.637,2
Vina,B,crystal,4,32,3,-7.0,5.094,2
Vina,B,crystal,5,32,3,-6.9,4.989,2
Vina,B,crystal,6,32,3,-6.9,3.917,2
Vina,B,crystal,7,32,3,-6.9,5.239,2
Vina,B,crystal,8,32,3,-6.9,5.217,2
Vina,B,crystal,9,32,3,-6.9,5.581,2
Vina,B,crystal,10,32,3,-6.8,6.508,2
Vina,B,crystal,11,32,3,-6.8,4.823,2
Vina,B,crystal,12,32,3,-6.7,4.296,2
Vina,B,crystal,13,32,3,-6.7,5.208,2
Vina,B,crystal,14,32,3,-6.6,5.443,2
Vina,B,crystal,15,32,3,-6.6,3.161,2
Vina,B,crystal,16,32,3,-6.6,5.660,2
Vina,B,crystal,17,32,3,-6.6,5.658,2
Vina,B,crystal,18,32,3,-6.6,4.748,2
Vina,B,crystal,19,32,3,-6.5,5.975,2
Vina,B,crystal,20,32,3,-6.4,3.843,2
Vina,B,crystal,1,32,3,-7.3,6.690,3
Vina,B,crystal,2,32,3,-7.1,6.717,3
Vina,B,crystal,3,32,3,-7.1,2.370,3
Vina,B,crystal,4,32,3,-7.0,6.145,3
Vina,B,crystal,5,32,3,-7.0,6.231,3
Vina,B,crystal,6,32,3,-7.0,4.407,3
Vina,B,crystal,7,32,3,-6.9,5.169,3
Vina,B,crystal,8,32,3,-6.9,5.091,3
Vina,B,crystal,9,32,3,-6.8,6.575,3
Vina,B,crystal,10,32,3,-6.8,5.543,3
Vina,B,crystal,11,32,3,-6.8,5.261,3
Vina,B,crystal,12,32,3,-6.8,6.503,3
Vina,B,crystal,13,32,3,-6.8,4.694,3
Vina,B,crystal,14,32,3,-6.8,5.119,3
Vina,B,crystal,15,32,3,-6.8,5.736,3
Vina,B,crystal,16,32,3,-6.7,4.805,3
Vina,B,crystal,17,32,3,-6.7,5.146,3
Vina,B,crystal,18,32,3,-6.6,5.890,3
Vina,B,crystal,19,32,3,-6.5,5.693,3
Vina,B,crystal,20,32,3,-6.4,5.558,3
Vina,B,crystal,1,8,1,-7.1,6.578,1
Vina,B,crystal,2,8,1,-7.0,5.260,1
Vina,B,crystal,3,8,1,-7.0,6.153,1
Vina,B,crystal,4,8,1,-6.9,4.990,1
Vina,B,crystal,5,8,1,-6.8,4.954,1
Vina,B,crystal,6,8,1,-6.8,6.492,1
Vina,B,crystal,7,8,1,-6.8,3.896,1
Vina,B,crystal,8,8,1,-6.7,4.127,1
Vina,B,crystal,9,8,1,-6.6,5.646,1
Vina,B,crystal,10,8,1,-6.5,5.355,1
Vina,B,crystal,11,8,1,-6.5,4.781,1
